rgi_id,C,80;o1region,C,80;o2region,C,80;glims_id,C,80;anlys_id,N,18,0;subm_id,N,18,0;src_date,C,80;cenlon,N,24,15;cenlat,N,24,15;utm_zone,N,18,0;area_km2,N,24,15;primeclass,N,18,0;conn_lvl,N,18,0;surge_type,N,18,0;term_type,N,18,0;glac_name,C,80;is_rgi6,N,18,0;termlon,N,24,15;termlat,N,24,15;zmin_m,N,24,15;zmax_m,N,24,15;zmed_m,N,24,15;zmean_m,N,24,15;slope_deg,N,24,15;aspect_deg,N,24,15;aspect_sec,N,18,0;dem_source,C,80;lmax_m,N,18,0
RGI2000-v7.0-G-11-00001;11;11-01;G005937E44988N;752391;731;2003-08-13T00:00:00;5,937788;44,988331;31;0,0372;0;0;0;0;FR4N01xxxxxx du Grand Armet;0;5,938411746111150;44,989152072651400;2206,2;2341,9;2256,1;2260,9;32,48;9,0;1;COPDEM30;206
RGI2000-v7.0-G-11-00002;11;11-01;G006028E44984N;752395;731;2003-08-13T00:00:00;6,028467;44,982862;32;0,0164;0;0;0;0;FR4N01166K02 Rampant/Ouest de Villard Notre Dame;0;6,028400921890650;44,983985349543000;2679,5;2876,6;2771,7;2778,8;47,86;21,1;1;COPDEM30;158
RGI2000-v7.0-G-11-00003;11;11-01;G006033E44983N;752396;731;2003-08-13T00:00:00;6,033026;44,982145;32;0,0477;0;0;0;0;FR4N01166K01 du Rochail 1;0;6,033692356724480;44,983400116146700;2755,7;2942,0;2836,3;2837,1;32,24;14,8;1;COPDEM30;335
RGI2000-v7.0-G-11-00004;11;11-01;G006079E44949N;752399;731;2003-08-13T00:00:00;6,079164;44,948774;32;0,0256;0;0;0;0;FR4N01166I06 du Peyron/de l'Embernard;0;6,081277858542210;44,950157160903500;2708,2;2978,5;2799,6;2814,3;45,39;356,9;1;COPDEM30;334
RGI2000-v7.0-G-11-00005;11;11-01;G006080E44940N;752400;731;2003-08-13T00:00:00;6,080438;44,940439;32;0,0113;0;0;0;0;FR4N01166I05 du Clapier du Peyron 2;0;6,081206239786700;44,940862774850900;2622,8;2681,8;2646,3;2646,2;26,65;70,8;3;COPDEM30;183
RGI2000-v7.0-G-11-00006;11;11-01;G006080E44941N;752398;731;2003-08-13T00:00:00;6,078497;44,938672;32;0,0327;0;0;0;0;FR4N01166I05 du Clapier du Peyron 1;0;6,081194009974360;44,938427531915300;2756,3;2896,0;2841,8;2834,9;37,06;36,2;2;COPDEM30;358
RGI2000-v7.0-G-11-00007;11;11-01;G006084E44937N;752401;731;2003-08-13T00:00:00;6,083081;44,936569;32;0,0120;0;0;0;0;FR4N01166I04 Est du Clapier du Peyron;0;6,084028309687480;44,936573816683200;2634,0;2710,8;2679,1;2677,7;31,60;58,9;2;COPDEM30;162
RGI2000-v7.0-G-11-00008;11;11-01;G006072E44940N;752397;731;2003-08-13T00:00:00;6,072026;44,939332;32;0,0850;0;0;0;0;FR4N01166J02 des Pisses;0;6,071087974211670;44,940617446764300;2515,1;2826,7;2632,4;2637,8;39,84;329,1;8;COPDEM30;377
RGI2000-v7.0-G-11-00009;11;11-01;G006101E44936N;752402;731;2003-08-13T00:00:00;6,101513;44,935176;32;0,0764;0;0;0;0;FR4N01166I02 Inferieur Ouest de la Muzelle;0;6,099222389160600;44,938472503668500;2535,5;3000,4;2772,7;2759,8;39,20;317,7;8;COPDEM30;813
RGI2000-v7.0-G-11-00010;11;11-01;G006109E44936N;752405;731;2003-08-13T00:00:00;6,109314;44,936970;32;0,3768;0;0;0;0;FR4N01166I01 de la Muzelle;0;6,109791007642610;44,942405733335500;2636,8;3333,6;2983,0;2987,8;35,53;344,5;1;COPDEM30;1359
RGI2000-v7.0-G-11-00011;11;11-01;G006114E44936N;752412;731;2003-08-13T00:00:00;6,114138;44,936348;32;0,0135;0;0;0;0;Glacier de la Grande Montagne_4;0;6,115238014675280;44,936397466947300;2941,5;3110,4;3007,9;3014,6;44,33;99,4;3;COPDEM30;189
RGI2000-v7.0-G-11-00012;11;11-01;G006114E44934N;752410;731;2003-08-13T00:00:00;6,111506;44,932908;32;0,0657;0;0;0;0;Glacier de la Grande Montagne_3;0;6,114238571135290;44,934220369922200;2981,0;3227,9;3076,4;3087,0;39,60;103,3;3;COPDEM30;346
RGI2000-v7.0-G-11-00013;11;11-01;G006111E44924N;752408;731;2003-08-13T00:00:00;6,110810;44,928780;32;0,1350;0;0;0;0;FR4N01166H08-10 de la Grande Montagne;0;6,113284348738860;44,927350151732200;2943,6;3273,3;3085,2;3088,8;32,07;108,2;3;COPDEM30;562
RGI2000-v7.0-G-11-00014;11;11-01;G006104E44928N;752403;731;2003-08-13T00:00:00;6,103929;44,927684;32;0,0223;0;0;0;0;Glacier Sud de la Muzelle;0;6,103805828753370;44,927083181339400;2940,2;3063,7;2999,0;3002,3;35,51;207,7;6;COPDEM30;188
RGI2000-v7.0-G-11-00015;11;11-01;G006112E44925N;752407;731;2003-08-13T00:00:00;6,111416;44,922944;32;0,3136;0;0;0;0;FR4N01166H08-10 de la Grande Montagne;0;6,116307257587090;44,925318405393600;2787,5;3183,1;3049,5;3038,6;30,07;76,4;3;COPDEM30;1116
RGI2000-v7.0-G-11-00016;11;11-01;G006116E44918N;752413;731;2003-08-13T00:00:00;6,114733;44,917762;32;0,0498;0;0;0;0;FR4N01166H07 du Vallon de Lanchatra 1;0;6,119384786392750;44,918404676863200;2726,7;3081,2;2907,1;2902,2;37,85;80,9;3;COPDEM30;538
RGI2000-v7.0-G-11-00017;11;11-01;G006110E44916N;752404;731;2003-08-13T00:00:00;6,109356;44,917240;32;0,0528;0;0;0;0;FR4N01171B02 Courbe 1;0;6,107512321357460;44,917726515872000;2940,6;3097,0;3032,8;3021,7;28,99;272,6;7;COPDEM30;371
RGI2000-v7.0-G-11-00018;11;11-01;G006110E44914N;752406;731;2003-08-13T00:00:00;6,109907;44,913903;32;0,0266;0;0;0;0;;0;6,109479814823300;44,914807012366900;3046,5;3136,6;3064,0;3080,2;21,00;331,4;8;COPDEM30;332
